SEASON,WEEK NUMBER,PREVIOUS WEEKS DEATHS 
2014-15,2014-40,1
2014-15,2014-41,0
2014-15,2014-42,0
2014-15,2014-43,1
2014-15,2014-44,0
2014-15,2014-45,0
2014-15,2014-46,3
2014-15,2014-47,1
2014-15,2014-48,2
2014-15,2014-49,4
2014-15,2014-50,7
2014-15,2014-51,17
2014-15,2014-52,13
2014-15,2014-53,13
2014-15,2015-01,12
2014-15,2015-02,5
2014-15,2015-03,10
2014-15,2015-04,10
2014-15,2015-05,8
2014-15,2015-06,4
2014-15,2015-07,2
2014-15,2015-08,9
2014-15,2015-09,5
2014-15,2015-10,4
2014-15,2015-11,5
2014-15,2015-12,1
2014-15,2015-13,0
2014-15,2015-14,1
2014-15,2015-15,2
2014-15,2015-16,1
2014-15,2015-17,2
2014-15,2015-18,0
2014-15,2015-19,2
2014-15,2015-20,0
2014-15,2015-21,1
2014-15,2015-22,0
2014-15,2015-23,1
2014-15,2015-24,0
2014-15,2015-25,0
2014-15,2015-26,0
2014-15,2015-27,0
2014-15,2015-28,0
2014-15,2015-29,0
2014-15,2015-30,0
2014-15,2015-31,0
2014-15,2015-32,1
2014-15,2015-33,0
2014-15,2015-34,0
2014-15,2015-35,0
2014-15,2015-36,0
2014-15,2015-37,0
2014-15,2015-38,0
2014-15,2015-39,0
2015-16,2015-40,0
2015-16,2015-41,0
2015-16,2015-42,0
2015-16,2015-43,0
2015-16,2015-44,2
2015-16,2015-45,0
2015-16,2015-46,0
2015-16,2015-47,0
2015-16,2015-48,2
2015-16,2015-49,1
2015-16,2015-50,1
2015-16,2015-51,1
2015-16,2015-52,1
2015-16,2016-01,0
2015-16,2016-02,2
2015-16,2016-03,0
2015-16,2016-04,3
2015-16,2016-05,1
2015-16,2016-06,2
2015-16,2016-07,5
2015-16,2016-08,7
2015-16,2016-09,6
2015-16,2016-10,4
2015-16,2016-11,9
2015-16,2016-12,8
2015-16,2016-13,11
2015-16,2016-14,9
2015-16,2016-15,4
2015-16,2016-16,1
2015-16,2016-17,2
2015-16,2016-18,1
2015-16,2016-19,3
2015-16,2016-20,0
2015-16,2016-21,2
2015-16,2016-22,1
2015-16,2016-23,1
2015-16,2016-24,0
2015-16,2016-25,1
2015-16,2016-26,0
2015-16,2016-27,1
2015-16,2016-28,1
2015-16,2016-29,0
2015-16,2016-30,0
2015-16,2016-31,0
2015-16,2016-32,0
2015-16,2016-33,0
2015-16,2016-34,0
2015-16,2016-35,0
2015-16,2016-36,0
2015-16,2016-37,0
2015-16,2016-38,0
2015-16,2016-39,0
2016-17,2016-40,0
2016-17,2016-41,0
2016-17,2016-42,0
2016-17,2016-43,0
2016-17,2016-44,0
2016-17,2016-45,0
2016-17,2016-46,0
2016-17,2016-47,0
2016-17,2016-48,1
2016-17,2016-49,1
2016-17,2016-50,1
2016-17,2016-51,4
2016-17,2016-52,1
2016-17,2017-01,5
2016-17,2017-02,4
2016-17,2017-03,4
2016-17,2017-04,9
2016-17,2017-05,5
2016-17,2017-06,8
2016-17,2017-07,12
2016-17,2017-08,11
2016-17,2017-09,1
2016-17,2017-10,4
2016-17,2017-11,5
2016-17,2017-12,3
2016-17,2017-13,3
2016-17,2017-14,5
2016-17,2017-15,10
2016-17,2017-16,3
2016-17,2017-17,3
2016-17,2017-18,1
2016-17,2017-19,0
2016-17,2017-20,1
2016-17,2017-21,2
2016-17,2017-22,0
2016-17,2017-23,1
2016-17,2017-24,0
2016-17,2017-25,0
2016-17,2017-26,0
2016-17,2017-27,0
2016-17,2017-28,0
2016-17,2017-29,0
2016-17,2017-30,0
2016-17,2017-31,0
2016-17,2017-32,0
2016-17,2017-33,1
2016-17,2017-34,0
2016-17,2017-35,1
2016-17,2017-36,0
2016-17,2017-37,0
2016-17,2017-38,0
2016-17,2017-39,0
2017-18,2017-40,0
2017-18,2017-41,0
2017-18,2017-42,1
2017-18,2017-43,0
2017-18,2017-44,3
2017-18,2017-45,2
2017-18,2017-46,2
2017-18,2017-47,1
2017-18,2017-48,0
2017-18,2017-49,0
2017-18,2017-50,3
2017-18,2017-51,6
2017-18,2017-52,5
2017-18,2018-01,11
2017-18,2018-02,6
2017-18,2018-03,9
2017-18,2018-04,12
